Ano;Função;SiglaOrgao;Orgao;ProjetoAtividade;Orçado para OSG;Atualizado para OSG;Empenhado para OSG;Liquidado para OSG;Pago para OSG
2022;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Implementação do Selo Municipal de Direitos Humanos e Diversidade;33965,9078;12765,39217;3206,6025;2206,1025;2206,1025
2022;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Manutenção e Operação do Centro Público de Economia Solidária e Direitos Humanos;814524,8;652864,3629;455251,0766;387793,8591;385033,4251
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Implementação do Selo Municipal de Direitos Humanos e Diversidade;133,4;133,4;0;0;0
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Manutenção e Operação do Centro Público de Economia Solidária e Direitos Humanos;855251,04;464724,5667;460345,1348;385632,9428;385632,9428
2024;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Implementação do Selo Municipal de Direitos Humanos e Diversidade;13340;0;0;0;0
2024;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Manutenção e Operação do Centro Público de Economia Solidária e Direitos Humanos;148587,7536;402815,7513;309254,7087;233865,4073;233840,5161
2025;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Implementação do Selo Municipal de Direitos Humanos e Diversidade;66,7;66,7;0;0;0
2025;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Manutenção e Operação do Centro Público de Economia Solidária e Direitos Humanos;416795,2;435621,0554;364659,819;187957,3438;157769,773
