Ano;Função;SiglaOrgao;Orgao;ProjetoAtividade;Orçado para OSG;Atualizado para OSG;Empenhado para OSG;Liquidado para OSG;Pago para OSG
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais do Departamento dos Museus Municipais;15383,49682;9625,570606;9563,367807;8329,186699;8329,186699
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais nas Bibliotecas Públicas;149953,728;150572,541;148099,6691;119640,3005;119503,6328
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades e Eventos da Cultura Reggae;27159,03;26364,63492;24924,18492;7712,11692;7429,26492
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Rádios Comunitárias - Lei nº 16.572/2016;354871,66;327998,836;327998,836;327998,836;327508,456
2023;13 - Cultura;SUB-MB;Subprefeitura M'Boi Mirim;Programação de Atividades Culturais;3146,28;29202;25013,2086;25013,2086;25013,2086
2023;13 - Cultura;SUB-MP;Subprefeitura São Miguel Paulista;Programação de Atividades Culturais;8,79;50032,68;50023,89;50023,89;50023,89
2023;13 - Cultura;SUB-PE;Subprefeitura Penha;Programação de Atividades Culturais;25;20000;20000;19500;19500
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Administração da Unidade;6779,42892;8577,78894;8398,316209;7491,663362;7455,361304
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Manutenção e Operação dos Equipamentos Públicos Voltados ao Atendimento da População LGBTI+;0;5061,690632;4869,343763;4459,341949;4444,149673
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Políticas, Programas e Ações para a População em Situação de Rua;10011,015;583087,6827;549414,4514;470067,9011;468250,4097
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Políticas, Programas e Ações para Imigrantes e Promoção ao Trabalho Decente;411093,02;1061103,568;620474,604;620003,63;579634,43
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Políticas, Programas e Ações para Povos Indígenas;4874,92;8282,94474;7498,71836;7498,71836;7498,71836
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Políticas, Programas e Ações para Promoção da Igualdade Racial;29393,4375;25866,225;19999,40685;19999,40685;13728,80685
2023;14 - Direitos da Cidadania;SMPED;Secretaria Municipal da Pessoa com Deficiência;Projetos para Inclusão da Pessoa com Deficiência;12394,13;65591,77527;65508,05034;57966,80448;57089,24424
2023;15 - Urbanismo;SIURB;Secretaria Municipal de Infraestrutura Urbana e Obras;Administração da Unidade;39096,76058;35217,74537;34802,65105;32822,41815;32772,11486
2023;15 - Urbanismo;SUB-IQ;Subprefeitura Itaquera;Intervenção, Urbanização e Melhoria de Bairros - Plano de Obras das Subprefeituras;133225,92;4525162,483;4329541,898;857384,379;857384,379
2023;15 - Urbanismo;SUB-MB;Subprefeitura M'Boi Mirim;Intervenção, Urbanização e Melhoria de Bairros - Plano de Obras das Subprefeituras;5942,52;71383,42181;53375,80333;15324,72671;14655,44404
2023;20 - Agricultura;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Manutenção e Operação do Programa Sampa+Rural;182350;157221,0775;152011,0775;147319,6923;102852,3423
2023;27 - Desporto e Lazer;SEME;Secretaria Municipal de Esportes e Lazer;Incentivo à Prática de Esportes;744952,0169;4528192,662;4340193,173;3858252,321;3607613,568
2023;27 - Desporto e Lazer;SEME;Secretaria Municipal de Esportes e Lazer;Programação da Virada Esportiva;143000;200449,7482;199942,4133;189688,2359;186963,2817
