CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
308914;CR.P.CONV;PEQUENOS SONHADORES;CASA VERDE/CACHOEIRINHA;LIMAO;35005211,0;;;CON;CR.P.CONV PEQUENOS SONHADORES;LIMAO;4;CASA VERDE-CACHOEIRINHA;Parceira
308915;CR.P.CONV;APRENDER E CRESCER;CASA VERDE/CACHOEIRINHA;CASA VERDE;35005202,0;;;CON;CR.P.CONV APRENDER E CRESCER;CASA VERDE;4;CASA VERDE-CACHOEIRINHA;Parceira
308916;CR.P.CONV;VEM SER FELIZ;FREGUESIA/BRASILANDIA;BRASILANDIA;35005299,0;;LOBATINHO;CON;CR.P.CONV VEM SER FELIZ;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308917;CR.P.CONV;SANTA CRUZ;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005266,0;;PIR LIM PIM PIM;CON;CR.P.CONV SANTA CRUZ;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
308918;CR.P.CONV;CANTINHO DOS ANJOS;FREGUESIA/BRASILANDIA;FREGUESIA DO O;35005284,0;;VOVO CARMELA;CON;CR.P.CONV CANTINHO DOS ANJOS;FREGUESIA DO O;3;FREGUESIA-BRASILANDIA;Parceira
308920;CR.P.CONV;ELOHIM ADONAI II;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005218,0;;ELAHIM ADONAI III;CON;CR.P.CONV ELOHIM ADONAI II;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
308921;CR.P.CONV;CAROLINA MARIA DE JESUS;VILA MARIA/VILA GUILHERME;VILA MARIA;35004793,0;;;CON;CR.P.CONV CAROLINA MARIA DE JESUS;VILA MARIA;7;VILA MARIA-VILA GUILHERME;Parceira
308922;CR.P.CONV;DOCE INFANCIA;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005205,0;;;CON;CR.P.CONV DOCE INFANCIA;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
308923;CR.P.CONV;CLARICE LISPECTOR;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005203,0;;;CON;CR.P.CONV CLARICE LISPECTOR;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
308924;CR.P.CONV;LYGIA FAGUNDES TELLES;CASA VERDE/CACHOEIRINHA;LIMAO;35005210,0;;;CON;CR.P.CONV LYGIA FAGUNDES TELLES;LIMAO;4;CASA VERDE-CACHOEIRINHA;Parceira
308925;CR.P.CONV;NOVA BRASILIA;SAPOPEMBA;SAPOPEMBA;35005323,0;;;CON;CR.P.CONV NOVA BRASILIA;SAPOPEMBA;32;SAPOPEMBA;Parceira
308926;CR.P.CONV;ALEGRIA DO SABER;PIRITUBA;JARAGUA;35005370,0;;;CON;CR.P.CONV ALEGRIA DO SABER;JARAGUA;2;PIRITUBA-JARAGUA;Parceira
308929;CR.P.CONV;CANTINHO PINHEIRINHO D AGUA;PIRITUBA;JARAGUA;35005371,0;;;CON;CR.P.CONV CANTINHO PINHEIRINHO D AGUA;JARAGUA;2;PIRITUBA-JARAGUA;Parceira
308930;CR.P.CONV;GENTE INOCENTE;PIRITUBA;PIRITUBA;35005337,0;;;CON;CR.P.CONV GENTE INOCENTE;PIRITUBA;2;PIRITUBA-JARAGUA;Parceira
308931;CR.P.CONV;LUZIA MATOS DA SILVA;PENHA;VILA MATILDE;35005190,0;;;CON;CR.P.CONV LUZIA MATOS DA SILVA;VILA MATILDE;21;PENHA;Parceira
308932;CR.P.CONV;FREDERICO, FREI;ERMELINO MATARAZZO;ERMELINO MATARAZZO;35005255,0;;CR.P.CONV. FREI FREDERICO;CON;CR.P.CONV FREDERICO, FREI;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Parceira
308933;CR.P.CONV;AMOR DIVINO;PENHA;CANGAIBA;35005222,0;;;CON;CR.P.CONV AMOR DIVINO;CANGAIBA;21;PENHA;Parceira
