CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
86;EMEI;PAULO CAMILHIER FLORENCANO;GUAIANASES;GUAIANASES;35098711,0;1678110,0;;DIR;EMEI PAULO CAMILHIER FLORENCANO;GUAIANASES;28;GUAIANASES;Direta
94;EMEI;VICENTE PAULO DA SILVA;CASA VERDE/CACHOEIRINHA;LIMAO;35098361,0;1670158,0;;DIR;EMEI VICENTE PAULO DA SILVA;LIMAO;4;CASA VERDE-CACHOEIRINHA;Direta
108;EMEF;JOSE ERMIRIO DE MORAES, SEN.;SAO MIGUEL;JARDIM HELENA;35098760,0;1677116,0;VILA NITRO OPERARIA;DIR;EMEF JOSE ERMIRIO DE MORAES, SEN.;JARDIM HELENA;23;SAO MIGUEL;Direta
191;EMEF;ALIPIO CORREA NETO, PROF.;BUTANTA;VILA SONIA;35098462,0;1679154,0;;DIR;EMEF ALIPIO CORREA NETO, PROF.;VILA SONIA;10;BUTANTA;Direta
205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;PIRITUBA;35079029,0;1671138,0;;DIR;EMEBS VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;2;PIRITUBA-JARAGUA;Direta
213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;BUTANTA;VILA SONIA;35098504,0;1679153,0;;DIR;EMEI ANTONIO CARLOS PACHECO E SILVA, PROF.;VILA SONIA;10;BUTANTA;Direta
221;EMEI;NAIR CORREA BUARQUE;FREGUESIA/BRASILANDIA;FREGUESIA DO O;35098425,0;1670140,0;INSTALADA JUNTO A EMPG ELIAS S. CAVALCANTI;DIR;EMEI NAIR CORREA BUARQUE;FREGUESIA DO O;3;FREGUESIA-BRASILANDIA;Direta
230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;VILA MARIA/VILA GUILHERME;VILA MARIA;35098395,0;1669185,0;PARQUE SHIBA;DIR;EMEI MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;VILA MARIA;7;VILA MARIA-VILA GUILHERME;Direta
248;EMEI;WALFRIDO DE CARVALHO, CEL.;JACANA/TREMEMBE;TREMEMBE;35098383,0;1669129,0;JARDIM MARTINS SILVA;DIR;EMEI WALFRIDO DE CARVALHO, CEL.;TREMEMBE;6;JACANA-TREMEMBE;Direta
256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAMPO LIMPO;CAPAO REDONDO;35098656,0;1672157,0;;DIR;EMEI WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAPAO REDONDO;17;CAMPO LIMPO;Direta
264;EMEF;SYLVIO HECK, ALM.;CIDADE ADEMAR;PEDREIRA;35098541,0;1673152,0;JARDIM ITAPURA;DIR;EMEF SYLVIO HECK, ALM.;PEDREIRA;16;CIDADE ADEMAR;Direta
281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;35098607,0;1672129,0;;DIR;EMEF VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;17;CAMPO LIMPO;Direta
299;EMEF;ROBERTO PATRICIO, PROF.;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35098358,0;1670159,0;VILA AMELIA;DIR;EMEF ROBERTO PATRICIO, PROF.;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Direta
302;EMEF;HELIO FRANCO CHAVES, CEL.;JACANA/TREMEMBE;TREMEMBE;35098371,0;1669118,0;;DIR;EMEF HELIO FRANCO CHAVES, CEL.;TREMEMBE;6;JACANA-TREMEMBE;Direta
311;EMEF;ANTONIO ALVES DA SILVA, SG.;CAMPO LIMPO;CAPAO REDONDO;35098632,0;1672133,0;;DIR;EMEF ANTONIO ALVES DA SILVA, SG.;CAPAO REDONDO;17;CAMPO LIMPO;Direta
329;EMEBS;NEUSA BASSETTO, PROFA.;MOOCA;MOOCA;35079017,0;1674168,0;NEUSA BASSETO, PROFA.;DIR;EMEBS NEUSA BASSETTO, PROFA.;MOOCA;25;MOOCA;Direta
337;EMEBS;LUCIE BRAY, ME;JACANA/TREMEMBE;JACANA;35079042,0;1669103,0;LUCIE BRAY, ME.;DIR;EMEBS LUCIE BRAY, ME;JACANA;6;JACANA-TREMEMBE;Direta
388;EMEI;RAUL JOVIANO DO AMARAL;CIDADE ADEMAR;PEDREIRA;35098553,0;1673146,0;;DIR;EMEI RAUL JOVIANO DO AMARAL;PEDREIRA;16;CIDADE ADEMAR;Direta
418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;SANTO AMARO;CAMPO GRANDE;35098536,0;1673113,0;;DIR;EMEF JOAO DE SOUZA FERRAZ, PROF.;CAMPO GRANDE;14;SANTO AMARO;Direta
426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;SAO MATEUS;SAO RAFAEL;35098747,0;1680146,0;;DIR;EMEI CELIA CAMARGO PENTEADO ELIAS, PROFA.;SAO RAFAEL;30;SAO MATEUS;Direta
434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;PIRITUBA;JARAGUA;35098437,0;1671104,0;;DIR;EMEI CLEMENTE SEGUNDO PINHO, PROF.;JARAGUA;2;PIRITUBA-JARAGUA;Direta
442;EMEI;ANTONIO RUBBO MULLER, PROF.;VILA PRUDENTE;SAO LUCAS;35098693,0;1668174,0;JTO A EMPG AUREA RIBEIRO XAVIER LOPES, PROF.;DIR;EMEI ANTONIO RUBBO MULLER, PROF.;SAO LUCAS;29;VILA PRUDENTE;Direta
451;EMEI;MARIA DO CARMO GODOY RAMOS, PROFA.;PIRITUBA;SAO DOMINGOS;35098449,0;1671159,0;JARDIM JARAGUA, ANEXA A EMPG HENRIQUE GEISEL;DIR;EMEI MARIA DO CARMO GODOY RAMOS, PROFA.;SAO DOMINGOS;2;PIRITUBA-JARAGUA;Direta
469;EMEI;RODOLFO TREVISAN;LAPA;VILA LEOPOLDINA;35098516,0;1671183,0;JARDIM HUMAITA;DIR;EMEI RODOLFO TREVISAN;VILA LEOPOLDINA;8;LAPA;Direta
477;EMEF;EDA TEREZINHA CHICA MEDEIROS, PROFA.;BUTANTA;RAPOSO TAVARES;35098474,0;1679119,0;JARDIM EDUCANDARIO;DIR;EMEF EDA TEREZINHA CHICA MEDEIROS, PROFA.;RAPOSO TAVARES;10;BUTANTA;Direta
485;EMEF;ASSAD ABDALA;PENHA;VILA MATILDE;35098668,0;1674176,0;;DIR;EMEF ASSAD ABDALA;VILA MATILDE;21;PENHA;Direta
493;EMEI;AURELIO BUARQUE DE HOLANDA FERREIRA;CAPELA DO SOCORRO;GRAJAU;35066312,0;1675126,0;JARDIM SAO BERNARDO / JARDIM PETRONITA;DIR;EMEI AURELIO BUARQUE DE HOLANDA FERREIRA;GRAJAU;19;CAPELA DO SOCORRO;Direta
531;EMEI;MARIA EUGENIA FAKHOURY;CAPELA DO SOCORRO;GRAJAU;35066291,0;1675131,0;;DIR;EMEI MARIA EUGENIA FAKHOURY;GRAJAU;19;CAPELA DO SOCORRO;Direta
540;EMEF;RAUL POMPEIA;PIRITUBA;JARAGUA;35066266,0;1671130,0;;DIR;EMEF RAUL POMPEIA;JARAGUA;2;PIRITUBA-JARAGUA;Direta
566;EMEF;TERESA MARGARIDA DA SILVA E ORTA;M'BOI MIRIM;JARDIM ANGELA;35066308,0;1672198,0;;DIR;EMEF TERESA MARGARIDA DA SILVA E ORTA;JARDIM ANGELA;18;M BOI MIRIM;Direta
574;EMEI;ORLANDO DE ALVARENGA GAUDIO, PROF.;M'BOI MIRIM;JARDIM ANGELA;35066285,0;1672197,0;;DIR;EMEI ORLANDO DE ALVARENGA GAUDIO, PROF.;JARDIM ANGELA;18;M BOI MIRIM;Direta
892;EMEF;HENRIQUE SOUZA FILHO - HENFIL;SAO MATEUS;IGUATEMI;35066734,0;1680114,0;;DIR;EMEF HENRIQUE SOUZA FILHO - HENFIL;IGUATEMI;30;SAO MATEUS;Direta
8834;EMEF;IDEMIA DE GODOY, PROFA.;GUAIANASES;LAJEADO;35068718,0;1678126,0;CHABILANDIA II;DIR;EMEF IDEMIA DE GODOY, PROFA.;LAJEADO;28;GUAIANASES;Direta
8842;EMEF;SEBASTIAO FRANCISCO, O NEGRO;ITAQUERA;PARQUE DO CARMO;35068697,0;1676163,0;CIDADE LIDER I;DIR;EMEF SEBASTIAO FRANCISCO, O NEGRO;PARQUE DO CARMO;27;ITAQUERA;Direta
9130;EMEI;OLGA BENARIO PRESTES;CIDADE TIRADENTES;CIDADE TIRADENTES;35068724,0;1678171,0;CONJ. HABITACIONAL INACIO MONTEIRO;DIR;EMEI OLGA BENARIO PRESTES;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
9148;EMEF;ALEXANDRE VANNUCHI LEME;CIDADE TIRADENTES;CIDADE TIRADENTES;35068706,0;1678134,0;CONJUNTO HABITACIONAL INACIO MONTEIRO I;DIR;EMEF ALEXANDRE VANNUCHI LEME;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
9156;EMEF;LUIS CARLOS PRESTES, SEN.;CIDADE TIRADENTES;CIDADE TIRADENTES;35068731,0;1678165,0;CONJ. HABITACIONAL INACIO MONTEIRO II;DIR;EMEF LUIS CARLOS PRESTES, SEN.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
9270;EMEI;DINA KUTNER DE SOUZA - DINA SFAT;JACANA/TREMEMBE;TREMEMBE;35068652,0;1669114,0;VILA ALBERTINA;DIR;EMEI DINA KUTNER DE SOUZA - DINA SFAT;TREMEMBE;6;JACANA-TREMEMBE;Direta
9326;EMEF;IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.;PIRITUBA;JARAGUA;35068639,0;1671114,0;VILA HOMERO;DIR;EMEF IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.;JARAGUA;2;PIRITUBA-JARAGUA;Direta
9911;EMEI;SAVA POPOVIC;SANTANA/TUCURUVI;MANDAQUI;35068640,0;1669144,0;LAUZANE PAULISTA;DIR;EMEI SAVA POPOVIC;MANDAQUI;5;SANTANA-TUCURUVI;Direta
9971;EMEF;LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;IPIRANGA;SACOMA;35068767,0;1668135,0;HELIOPOLIS;DIR;EMEF LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;SACOMA;13;IPIRANGA;Direta
9989;EMEI;OTAVIO JOSE DA SILVA JUNIOR;IPIRANGA;SACOMA;35068755,0;1668134,0;HELIOPOLIS;DIR;EMEI OTAVIO JOSE DA SILVA JUNIOR;SACOMA;13;IPIRANGA;Direta
10049;EMEF;CHICO FALCONI, PE.;ITAIM PAULISTA;VILA CURUCA;35068676,0;1677185,0;;DIR;EMEF CHICO FALCONI, PE.;VILA CURUCA;24;ITAIM PAULISTA;Direta
10103;EMEF;FRANCISCO ALVES MENDES FILHO - CHICO MENDES;ITAQUERA;CIDADE LIDER;35068664,0;1676113,0;VILA MATILDE;DIR;EMEF FRANCISCO ALVES MENDES FILHO - CHICO MENDES;CIDADE LIDER;27;ITAQUERA;Direta
10111;EMEF;MARIO SCHENBERG, PROF.;CIDADE ADEMAR;PEDREIRA;35068792,0;1673151,0;SANTO AMARO I;DIR;EMEF MARIO SCHENBERG, PROF.;PEDREIRA;16;CIDADE ADEMAR;Direta
10120;EMEF;CARLOS AUGUSTO DE QUEIROZ ROCHA;CIDADE ADEMAR;CIDADE ADEMAR;35068809,0;1673127,0;SANTO AMARO II;DIR;EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA;CIDADE ADEMAR;16;CIDADE ADEMAR;Direta
10138;EMEF;ELZA MAIA COSTA FREIRE, PROFA.;CIDADE ADEMAR;CIDADE ADEMAR;35068810,0;1673130,0;SANTO AMARO III;DIR;EMEF ELZA MAIA COSTA FREIRE, PROFA.;CIDADE ADEMAR;16;CIDADE ADEMAR;Direta
10146;EMEF;MARIA RITA LOPES PONTES - IRMA DULCE;CAMPO LIMPO;CAPAO REDONDO;35068779,0;1672163,0;CAMPO LIMPO I;DIR;EMEF MARIA RITA LOPES PONTES - IRMA DULCE;CAPAO REDONDO;17;CAMPO LIMPO;Direta
10154;EMEF;MAURO FACCIO GONCALVES - ZACARIA;M'BOI MIRIM;JARDIM SAO LUIS;35068822,0;1672228,0;CAMPO LIMPO II;DIR;EMEF MAURO FACCIO GONCALVES - ZACARIA;JARDIM SAO LUIS;18;M BOI MIRIM;Direta
10162;EMEF;LORENCO MANOEL SPARAPAN, PROF.;M'BOI MIRIM;JARDIM SAO LUIS;35068834,0;1672218,0;CAMPO LIMPO III;DIR;EMEF LORENCO MANOEL SPARAPAN, PROF.;JARDIM SAO LUIS;18;M BOI MIRIM;Direta
10171;EMEF;ALDO RIBEIRO LUZ, PROF.;PIRITUBA;JARAGUA;35068627,0;1671101,0;JARAGUA;DIR;EMEF ALDO RIBEIRO LUZ, PROF.;JARAGUA;2;PIRITUBA-JARAGUA;Direta
10405;EMEF;NILDO DO AMARAL JUNIOR, PE.;ITAIM PAULISTA;ITAIM PAULISTA;35068688,0;1677170,0;CONJ. HABITACIONAL ITAIM;DIR;EMEF NILDO DO AMARAL JUNIOR, PE.;ITAIM PAULISTA;24;ITAIM PAULISTA;Direta
10413;EMEF;QUIRINO CARNEIRO RENNO, PROF.;GUAIANASES;GUAIANASES;35068743,0;1678111,0;JARDIM SAO GERALDO;DIR;EMEF QUIRINO CARNEIRO RENNO, PROF.;GUAIANASES;28;GUAIANASES;Direta
10421;EMEF;CYRO ALBUQUERQUE, DEP.;CAMPO LIMPO;CAPAO REDONDO;35068780,0;1672140,0;CONJ. RESIDENCIAL CRUZEIRO DO SUL;DIR;EMEF CYRO ALBUQUERQUE, DEP.;CAPAO REDONDO;17;CAMPO LIMPO;Direta
10839;EMEI;CLARICE BENVINDA SANTOS SILVA, PROFA;M'BOI MIRIM;JARDIM ANGELA;35076120,0;1672200,0;VILA REMO;DIR;EMEI CLARICE BENVINDA SANTOS SILVA, PROFA;JARDIM ANGELA;18;M BOI MIRIM;Direta
10910;EMEI;RUBENS NASCIMENTO DA SILVA - MEXICANO;CAMPO LIMPO;CAPAO REDONDO;35076119,0;1672154,0;PARQUE FERNANDA;DIR;EMEI RUBENS NASCIMENTO DA SILVA - MEXICANO;CAPAO REDONDO;17;CAMPO LIMPO;Direta
11045;EMEI;EDER SADER;SAPOPEMBA;SAPOPEMBA;35076156,0;1680191,0;CONJ. HABITACIONAL MASCARENHAS DE MORAES;DIR;EMEI EDER SADER;SAPOPEMBA;32;SAPOPEMBA;Direta
11380;EMEI;ANTONIO ROBERTO ALVES BRAGA, DR.;SAO MIGUEL;VILA JACUI;35074640,0;1677142,0;JARDIM DAS CAMELIAS;DIR;EMEI ANTONIO ROBERTO ALVES BRAGA, DR.;VILA JACUI;23;SAO MIGUEL;Direta
11533;EMEF;FRANCISCO DA SILVEIRA BUENO, PROF.;VILA PRUDENTE;SAO LUCAS;35076144,0;1668185,0;CONJ. HABITACIONAL SAO NICOLAU;DIR;EMEF FRANCISCO DA SILVEIRA BUENO, PROF.;SAO LUCAS;29;VILA PRUDENTE;Direta
11541;EMEI;YOLANDA BASSI, PROFA.;SAO MIGUEL;VILA JACUI;35076168,0;1677153,0;VILA SANTA INES;DIR;EMEI YOLANDA BASSI, PROFA.;VILA JACUI;23;SAO MIGUEL;Direta
11550;EMEI;PAULO ZINGG;CAMPO LIMPO;CAPAO REDONDO;35076193,0;1672151,0;CONJ. HABITACIONAL ADVENTISTA;DIR;EMEI PAULO ZINGG;CAPAO REDONDO;17;CAMPO LIMPO;Direta
11568;EMEI;JOSE ROSCHEL CHRISTI - JUCA ROCHA;PARELHEIROS;PARELHEIROS;35076200,0;1675162,0;;DIR;EMEI JOSE ROSCHEL CHRISTI - JUCA ROCHA;PARELHEIROS;20;PARELHEIROS;Direta
11851;EMEF;ANALIA FRANCO BASTOS;MOOCA;BELEM;35076132,0;1674161,0;;DIR;EMEF ANALIA FRANCO BASTOS;BELEM;25;MOOCA;Direta
11886;EMEI;MARIO BENI, DEP.;CIDADE TIRADENTES;CIDADE TIRADENTES;35076173,0;1678169,0;CENTRO COMUNITARIO CASTRO ALVES;DIR;EMEI MARIO BENI, DEP.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
11924;EMEF;MARIA ALICE BORGES GHION, PROFA.;BUTANTA;RAPOSO TAVARES;35076181,0;1679129,0;COHAB RAPOSO TAVARES;DIR;EMEF MARIA ALICE BORGES GHION, PROFA.;RAPOSO TAVARES;10;BUTANTA;Direta
12157;EMEF;ELIAS SHAMMASS;CIDADE TIRADENTES;CIDADE TIRADENTES;35078773,0;1678159,0;;DIR;EMEF ELIAS SHAMMASS;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
12246;EMEI;FAUSTO RIBEIRO DA SILVA FILHO, DR.;ITAIM PAULISTA;VILA CURUCA;35078761,0;1677184,0;;DIR;EMEI FAUSTO RIBEIRO DA SILVA FILHO, DR.;VILA CURUCA;24;ITAIM PAULISTA;Direta
12688;EMEF;ULYSSES DA SYLVEIRA GUIMARAES;PARELHEIROS;PARELHEIROS;35078797,0;1675173,0;JARDIM SANTA FE;DIR;EMEF ULYSSES DA SYLVEIRA GUIMARAES;PARELHEIROS;20;PARELHEIROS;Direta
12874;EMEF;BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA;SAPOPEMBA;SAPOPEMBA;35078759,0;1680172,0;JARDIM DONA SINHA;DIR;EMEF BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA;SAPOPEMBA;32;SAPOPEMBA;Direta
12939;EMEF;JOSE OLYMPIO PEREIRA FILHO;CAMPO LIMPO;CAPAO REDONDO;35078785,0;1672160,0;CONJ. HABITACIONAL ADVENTISTA;DIR;EMEF JOSE OLYMPIO PEREIRA FILHO;CAPAO REDONDO;17;CAMPO LIMPO;Direta
13111;EMEI;CAIO GRACO DA SILVA PRADO;FREGUESIA/BRASILANDIA;BRASILANDIA;35074652,0;1670116,0;;DIR;EMEI CAIO GRACO DA SILVA PRADO;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Direta
13218;EMEI;SEVERINO DO RAMO;ITAIM PAULISTA;VILA CURUCA;35075395,0;1677199,0;;DIR;EMEI SEVERINO DO RAMO;VILA CURUCA;24;ITAIM PAULISTA;Direta
13226;CEU EMEI;CARLOS OLIVALDO DE SOUZA LOPES MUNIZ, DR.;SAO MIGUEL;VILA JACUI;35074664,0;1677503,0;JARDIM SAO CARLOS;DIR;CEU EMEI CARLOS OLIVALDO DE SOUZA LOPES MUNIZ, DR.;VILA JACUI;23;SAO MIGUEL;Direta
13315;EMEI;MARIA LUCIA PETIT DA SILVA, PROFA.;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35074676,0;1670152,0;;DIR;EMEI MARIA LUCIA PETIT DA SILVA, PROFA.;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Direta
13358;EMEI;JANIO QUADROS, PRES.;JACANA/TREMEMBE;TREMEMBE;35074688,0;1669120,0;JARDIM JOAMAR;DIR;EMEI JANIO QUADROS, PRES.;TREMEMBE;6;JACANA-TREMEMBE;Direta
13447;EMEI;HENRIQUE RICCHETTI, PROF.;SAO MATEUS;SAO MATEUS;35074697,0;1680130,0;;DIR;EMEI HENRIQUE RICCHETTI, PROF.;SAO MATEUS;30;SAO MATEUS;Direta
13471;EMEI;MARINA NOGUEIRA DE SOUZA MARTINS;SANTANA/TUCURUVI;MANDAQUI;35074706,0;1669141,0;;DIR;EMEI MARINA NOGUEIRA DE SOUZA MARTINS;MANDAQUI;5;SANTANA-TUCURUVI;Direta
13498;EMEI;JOSE ROBERTO DE CASTRO RIBEIRO, PROF.;CIDADE TIRADENTES;CIDADE TIRADENTES;35074718,0;1678158,0;CONJ. HABITACIONAL SANTA ETELVINA - VII A;DIR;EMEI JOSE ROBERTO DE CASTRO RIBEIRO, PROF.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
13501;EMEI;DULCE SALLES FERRAZ, PROFA.;CIDADE TIRADENTES;CIDADE TIRADENTES;35074724,0;1678143,0;CONJ. HABITACIONAL SANTA ETELVINA - VII B;DIR;EMEI DULCE SALLES FERRAZ, PROFA.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
13510;EMEF;OLINDA MENEZES SERRA VIDAL, PROFA.;CIDADE TIRADENTES;CIDADE TIRADENTES;35074731,0;1678170,0;CONJ. HABITACIONAL SANTA ETELVINA - VII A;DIR;EMEF OLINDA MENEZES SERRA VIDAL, PROFA.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
13528;EMEF;ANNA LAMBERGA ZEGLIO, VER.;CIDADE TIRADENTES;CIDADE TIRADENTES;35074743,0;1678138,0;CONJ. HABITACIONAL SANTA ETELVINA - VII B;DIR;EMEF ANNA LAMBERGA ZEGLIO, VER.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
13692;EMEI;DORACIL DINA BENICIO, PROFA.;ITAIM PAULISTA;VILA CURUCA;35074755,0;1677181,0;CONJ. HABITACIONAL NAZARE;DIR;EMEI DORACIL DINA BENICIO, PROFA.;VILA CURUCA;24;ITAIM PAULISTA;Direta
13803;EMEF;JULIO DE GRAMMONT;SAO MATEUS;SAO RAFAEL;35074767,0;1680153,0;RODOLFO PIRANI;DIR;EMEF JULIO DE GRAMMONT;SAO RAFAEL;30;SAO MATEUS;Direta
14117;EMEI;AYRTON SENNA DA SILVA;CIDADE ADEMAR;CIDADE ADEMAR;35075553,0;1673126,0;JARDIM MIRIAM;DIR;EMEI AYRTON SENNA DA SILVA;CIDADE ADEMAR;16;CIDADE ADEMAR;Direta
14125;EMEI;VIRGILIO TAVORA;CIDADE ADEMAR;PEDREIRA;35075589,0;1673148,0;JARDIM SANTA LUCIA DO GUACURI;DIR;EMEI VIRGILIO TAVORA;PEDREIRA;16;CIDADE ADEMAR;Direta
14176;EMEI;SALOMAO JORGE, DEP.;M'BOI MIRIM;JARDIM SAO LUIS;35075565,0;1672225,0;JARDIM SAO JOAQUIM;DIR;EMEI SALOMAO JORGE, DEP.;JARDIM SAO LUIS;18;M BOI MIRIM;Direta
14249;EMEF;ERNESTO DE MORAES LEME, PROF.;PIRITUBA;JARAGUA;35062807,0;1671117,0;CIDADE D'ABRIL;DIR;EMEF ERNESTO DE MORAES LEME, PROF.;JARAGUA;2;PIRITUBA-JARAGUA;Direta
14567;EMEI;TITO LIVIO FERREIRA, PROF.;FREGUESIA/BRASILANDIA;BRASILANDIA;35075577,0;1670126,0;;DIR;EMEI TITO LIVIO FERREIRA, PROF.;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Direta
14575;EMEI;CIDADE DO SOL;IPIRANGA;SACOMA;35062777,0;1668124,0;CONJ. HABITACIONAL HELIOPOLIS;DIR;EMEI CIDADE DO SOL;SACOMA;13;IPIRANGA;Direta
14583;EMEF;FLAVIO AUGUSTO ROSA, PROF.;SAO MIGUEL;JARDIM HELENA;35062790,0;1677107,0;VILA ITAIM;DIR;EMEF FLAVIO AUGUSTO ROSA, PROF.;JARDIM HELENA;23;SAO MIGUEL;Direta
14591;EMEI;BENEDICTO CASTRUCCI, PROF.;BUTANTA;RAPOSO TAVARES;35200074,0;1679112,0;CONJ. HABITACIONAL RAPOSO TAVARES;DIR;EMEI BENEDICTO CASTRUCCI, PROF.;RAPOSO TAVARES;10;BUTANTA;Direta
14672;EMEI;EDUARDO KNEESE DE MELLO, PROF.;CIDADE TIRADENTES;CIDADE TIRADENTES;35200529,0;1678146,0;CONJ. HABITACIONAL SANTA ETELVINA IIA - Q31;DIR;EMEI EDUARDO KNEESE DE MELLO, PROF.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
14681;EMEI;ELISIARIO RODRIGUES DE SOUSA, PROF.;CIDADE TIRADENTES;CIDADE TIRADENTES;35200530,0;1678152,0;;DIR;EMEI ELISIARIO RODRIGUES DE SOUSA, PROF.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
14699;EMEF;ANTONIO DAVILA, PROF.;CIDADE TIRADENTES;CIDADE TIRADENTES;35062789,0;1678141,0;CONJ. HABITACIONAL SANTA ETELVINA IIA - Q44;DIR;EMEF ANTONIO DAVILA, PROF.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
14893;EMEI;MARIA DAILCE MONTEIRO DA SILVA GOMES, PROFA.;PIRITUBA;JARAGUA;35200013,0;1671116,0;VILA AURORA;DIR;EMEI MARIA DAILCE MONTEIRO DA SILVA GOMES, PROFA.;JARAGUA;2;PIRITUBA-JARAGUA;Direta
15024;EMEF;CAIO SERGIO POMPEU DE TOLEDO, DEP.;CIDADE TIRADENTES;CIDADE TIRADENTES;35200062,0;1678150,0;CONJ. HABITACIONAL SANTA ETELVINA II - Q 04;DIR;EMEF CAIO SERGIO POMPEU DE TOLEDO, DEP.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
15121;EMEF;JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.;PENHA;ARTUR ALVIM;35200025,0;1674114,0;;DIR;EMEF JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.;ARTUR ALVIM;21;PENHA;Direta
15130;EMEF;JULIO CESAR DE MELO E SOUSA-MALBA TAHAN, PROF;ITAQUERA;ITAQUERA;35200049,0;1676133,0;;DIR;EMEF JULIO CESAR DE MELO E SOUSA-MALBA TAHAN, PROF;ITAQUERA;27;ITAQUERA;Direta
15296;EMEF;JOAO FRANZOLIN NETO, PROF.;ERMELINO MATARAZZO;ERMELINO MATARAZZO;35200050,0;1674189,0;VILA CISPER II;DIR;EMEF JOAO FRANZOLIN NETO, PROF.;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Direta
15423;EMEF;PRESTES MAIA;CIDADE ADEMAR;CIDADE ADEMAR;35200086,0;1673138,0;JARDIM MARTINES;DIR;EMEF PRESTES MAIA;CIDADE ADEMAR;16;CIDADE ADEMAR;Direta
15431;EMEF;ERNANI SILVA BRUNO;PIRITUBA;JARAGUA;35200001,0;1671111,0;BRASILANDIA;DIR;EMEF ERNANI SILVA BRUNO;JARAGUA;2;PIRITUBA-JARAGUA;Direta
15440;EMEF;EUZEBIO ROCHA FILHO;ITAIM PAULISTA;VILA CURUCA;35200037,0;1677188,0;VILA CONCEICAO;DIR;EMEF EUZEBIO ROCHA FILHO;VILA CURUCA;24;ITAIM PAULISTA;Direta
16497;EMEF;FERNANDO GRACIOSO;PERUS;PERUS;35201923,0;1671198,0;JARDIM DO RUSSO;DIR;EMEF FERNANDO GRACIOSO;PERUS;1;PERUS;Direta
16501;EMEF;FLORESTAN FERNANDES, PROF.;CAPELA DO SOCORRO;CIDADE DUTRA;35201960,0;1675104,0;JARDIM GUANABARA;DIR;EMEF FLORESTAN FERNANDES, PROF.;CIDADE DUTRA;19;CAPELA DO SOCORRO;Direta
16519;EMEFM;RUBENS PAIVA;SAPOPEMBA;SAPOPEMBA;35201947,0;1680167,0;JARDIM ANGELA;DIR;EMEFM RUBENS PAIVA;SAPOPEMBA;32;SAPOPEMBA;Direta
16527;EMEF;CLAUDIA BARTOLOMAZI, PROFA.;CIDADE TIRADENTES;CIDADE TIRADENTES;35201959,0;1678153,0;SANTA ETELVINA II-B;DIR;EMEF CLAUDIA BARTOLOMAZI, PROFA.;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Direta
