CODEOL;TIPO;UNIDADE;DIRETORIA;DISTRITO;NIVEL;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
86;EMEI;PAULO CAMILHIER FLORENCANO;GUAIANASES;GUAIANASES;CRECHE;0;Educação Infantil;GUAIANASES;28;GUAIANASES;Educação Infantil|GUAIANASES
94;EMEI;VICENTE PAULO DA SILVA;FREGUESIA/BRASILANDIA;LIMAO;CRECHE;0;Educação Infantil;LIMAO;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
108;EMEF;JOSE ERMIRIO DE MORAES, SEN.;SAO MIGUEL;JARDIM HELENA;CRECHE;0;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
191;EMEF;ALIPIO CORREA NETO, PROF.;BUTANTA;VILA SONIA;CRECHE;0;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;PIRITUBA;CRECHE;0;Educação Infantil;PIRITUBA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;BUTANTA;VILA SONIA;CRECHE;0;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
221;EMEI;NAIR CORREA BUARQUE;FREGUESIA/BRASILANDIA;FREGUESIA DO O;CRECHE;0;Educação Infantil;FREGUESIA DO O;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;JACANA/TREMEMBE;VILA MARIA;CRECHE;0;Educação Infantil;VILA MARIA;07;VILA MARIA-VILA GUILHERME;Educação Infantil|VILA MARIA-VILA GUILHERME
248;EMEI;WALFRIDO DE CARVALHO, CEL.;JACANA/TREMEMBE;TREMEMBE;CRECHE;0;Educação Infantil;TREMEMBE;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
264;EMEF;SYLVIO HECK, ALM.;SANTO AMARO;PEDREIRA;CRECHE;0;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;CRECHE;0;Educação Infantil;CAMPO LIMPO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
299;EMEF;ROBERTO PATRICIO, PROF.;FREGUESIA/BRASILANDIA;CACHOEIRINHA;CRECHE;0;Educação Infantil;CACHOEIRINHA;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
302;EMEF;HELIO FRANCO CHAVES, CEL.;JACANA/TREMEMBE;TREMEMBE;CRECHE;0;Educação Infantil;TREMEMBE;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
311;EMEF;ANTONIO ALVES DA SILVA, SG.;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
329;EMEBS;NEUSA BASSETTO, PROFA.;PENHA;MOOCA;CRECHE;0;Educação Infantil;MOOCA;25;MOOCA;Educação Infantil|MOOCA
337;EMEBS;LUCIE BRAY, ME;JACANA/TREMEMBE;JACANA;CRECHE;0;Educação Infantil;JACANA;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
388;EMEI;RAUL JOVIANO DO AMARAL;SANTO AMARO;PEDREIRA;CRECHE;0;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;SANTO AMARO;CAMPO GRANDE;CRECHE;0;Educação Infantil;CAMPO GRANDE;14;SANTO AMARO;Educação Infantil|SANTO AMARO
426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;SAO MATEUS;SAO RAFAEL;CRECHE;0;Educação Infantil;SAO RAFAEL;30;SAO MATEUS;Educação Infantil|SAO MATEUS
434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
442;EMEI;ANTONIO RUBBO MULLER, PROF.;IPIRANGA;SAO LUCAS;CRECHE;0;Educação Infantil;SAO LUCAS;29;VILA PRUDENTE;Educação Infantil|VILA PRUDENTE
451;EMEI;MARIA DO CARMO GODOY RAMOS, PROFA.;PIRITUBA;SAO DOMINGOS;CRECHE;0;Educação Infantil;SAO DOMINGOS;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
469;EMEI;RODOLFO TREVISAN;PIRITUBA;VILA LEOPOLDINA;CRECHE;0;Educação Infantil;VILA LEOPOLDINA;08;LAPA;Educação Infantil|LAPA
477;EMEF;EDA TEREZINHA CHICA MEDEIROS, PROFA.;BUTANTA;RAPOSO TAVARES;CRECHE;0;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
485;EMEF;ASSAD ABDALA;PENHA;VILA MATILDE;CRECHE;0;Educação Infantil;VILA MATILDE;21;PENHA;Educação Infantil|PENHA
493;EMEI;AURELIO BUARQUE DE HOLANDA FERREIRA;CAPELA DO SOCORRO;GRAJAU;CRECHE;0;Educação Infantil;GRAJAU;19;CAPELA DO SOCORRO;Educação Infantil|CAPELA DO SOCORRO
531;EMEI;MARIA EUGENIA FAKHOURY;CAPELA DO SOCORRO;GRAJAU;CRECHE;0;Educação Infantil;GRAJAU;19;CAPELA DO SOCORRO;Educação Infantil|CAPELA DO SOCORRO
540;EMEF;RAUL POMPEIA;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
566;EMEF;TERESA MARGARIDA DA SILVA E ORTA;CAMPO LIMPO;JARDIM ANGELA;CRECHE;0;Educação Infantil;JARDIM ANGELA;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
892;EMEF;HENRIQUE SOUZA FILHO - HENFIL;SAO MATEUS;IGUATEMI;CRECHE;0;Educação Infantil;IGUATEMI;30;SAO MATEUS;Educação Infantil|SAO MATEUS
8834;EMEF;IDEMIA DE GODOY, PROFA.;GUAIANASES;LAJEADO;CRECHE;0;Educação Infantil;LAJEADO;28;GUAIANASES;Educação Infantil|GUAIANASES
8842;EMEF;SEBASTIAO FRANCISCO, O NEGRO;ITAQUERA;PARQUE DO CARMO;CRECHE;0;Educação Infantil;PARQUE DO CARMO;27;ITAQUERA;Educação Infantil|ITAQUERA
9130;EMEI;OLGA BENARIO PRESTES;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
9148;EMEF;ALEXANDRE VANNUCHI LEME;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
9156;EMEF;LUIS CARLOS PRESTES, SEN.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
9270;EMEI;DINA KUTNER DE SOUZA - DINA SFAT;JACANA/TREMEMBE;TREMEMBE;CRECHE;0;Educação Infantil;TREMEMBE;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
9326;EMEF;IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
9911;EMEI;SAVA POPOVIC;JACANA/TREMEMBE;MANDAQUI;CRECHE;0;Educação Infantil;MANDAQUI;05;SANTANA-TUCURUVI;Educação Infantil|SANTANA-TUCURUVI
9971;EMEF;LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;IPIRANGA;SACOMA;CRECHE;0;Educação Infantil;SACOMA;13;IPIRANGA;Educação Infantil|IPIRANGA
9989;EMEI;OTAVIO JOSE DA SILVA JUNIOR;IPIRANGA;SACOMA;CRECHE;0;Educação Infantil;SACOMA;13;IPIRANGA;Educação Infantil|IPIRANGA
10049;EMEF;CHICO FALCONI, PE.;SAO MIGUEL;VILA CURUCA;CRECHE;0;Educação Infantil;VILA CURUCA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
10103;EMEF;FRANCISCO ALVES MENDES FILHO - CHICO MENDES;ITAQUERA;CIDADE LIDER;CRECHE;0;Educação Infantil;CIDADE LIDER;27;ITAQUERA;Educação Infantil|ITAQUERA
10111;EMEF;MARIO SCHENBERG, PROF.;SANTO AMARO;PEDREIRA;CRECHE;0;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
10120;EMEF;CARLOS AUGUSTO DE QUEIROZ ROCHA;SANTO AMARO;CIDADE ADEMAR;CRECHE;0;Educação Infantil;CIDADE ADEMAR;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
10138;EMEF;ELZA MAIA COSTA FREIRE, PROFA.;SANTO AMARO;CIDADE ADEMAR;CRECHE;0;Educação Infantil;CIDADE ADEMAR;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
10146;EMEF;MARIA RITA LOPES PONTES - IRMA DULCE;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
10154;EMEF;MAURO FACCIO GONCALVES - ZACARIA;CAMPO LIMPO;JARDIM SAO LUIS;CRECHE;0;Educação Infantil;JARDIM SAO LUIS;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
10162;EMEF;LORENCO MANOEL SPARAPAN, PROF.;CAMPO LIMPO;JARDIM SAO LUIS;CRECHE;0;Educação Infantil;JARDIM SAO LUIS;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
10171;EMEF;ALDO RIBEIRO LUZ, PROF.;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
10405;EMEF;NILDO DO AMARAL JUNIOR, PE.;SAO MIGUEL;ITAIM PAULISTA;CRECHE;0;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
10413;EMEF;QUIRINO CARNEIRO RENNO, PROF.;GUAIANASES;GUAIANASES;CRECHE;0;Educação Infantil;GUAIANASES;28;GUAIANASES;Educação Infantil|GUAIANASES
10421;EMEF;CYRO ALBUQUERQUE, DEP.;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
10839;EMEI;CLARICE BENVINDA SANTOS SILVA, PROFA;CAMPO LIMPO;JARDIM ANGELA;CRECHE;0;Educação Infantil;JARDIM ANGELA;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
10910;EMEI;RUBENS NASCIMENTO DA SILVA - MEXICANO;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
11045;EMEI;EDER SADER;SAO MATEUS;SAPOPEMBA;CRECHE;0;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
11380;EMEI;ANTONIO ROBERTO ALVES BRAGA, DR.;SAO MIGUEL;VILA JACUI;CRECHE;0;Educação Infantil;VILA JACUI;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
11533;EMEF;FRANCISCO DA SILVEIRA BUENO, PROF.;IPIRANGA;SAO LUCAS;CRECHE;0;Educação Infantil;SAO LUCAS;29;VILA PRUDENTE;Educação Infantil|VILA PRUDENTE
11541;EMEI;YOLANDA BASSI, PROFA.;SAO MIGUEL;VILA JACUI;CRECHE;0;Educação Infantil;VILA JACUI;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
11550;EMEI;PAULO ZINGG;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
11568;EMEI;JOSE ROSCHEL CHRISTI - JUCA ROCHA;CAPELA DO SOCORRO;PARELHEIROS;CRECHE;0;Educação Infantil;PARELHEIROS;20;PARELHEIROS;Educação Infantil|PARELHEIROS
11851;EMEF;ANALIA FRANCO BASTOS;PENHA;BELEM;CRECHE;0;Educação Infantil;BELEM;25;MOOCA;Educação Infantil|MOOCA
11886;EMEI;MARIO BENI, DEP.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
11924;EMEF;MARIA ALICE BORGES GHION, PROFA.;BUTANTA;RAPOSO TAVARES;CRECHE;0;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
12157;EMEF;ELIAS SHAMMASS;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
12246;EMEI;FAUSTO RIBEIRO DA SILVA FILHO, DR.;SAO MIGUEL;VILA CURUCA;CRECHE;0;Educação Infantil;VILA CURUCA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
12688;EMEF;ULYSSES DA SYLVEIRA GUIMARAES;CAPELA DO SOCORRO;PARELHEIROS;CRECHE;0;Educação Infantil;PARELHEIROS;20;PARELHEIROS;Educação Infantil|PARELHEIROS
12874;EMEF;BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA;SAO MATEUS;SAPOPEMBA;CRECHE;0;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
12939;EMEF;JOSE OLYMPIO PEREIRA FILHO;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
13111;EMEI;CAIO GRACO DA SILVA PRADO;FREGUESIA/BRASILANDIA;BRASILANDIA;CRECHE;0;Educação Infantil;BRASILANDIA;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
13218;EMEI;SEVERINO DO RAMO;SAO MIGUEL;VILA CURUCA;CRECHE;0;Educação Infantil;VILA CURUCA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
13226;CEU EMEI;CARLOS OLIVALDO DE SOUZA LOPES MUNIZ, DR.;SAO MIGUEL;VILA JACUI;CRECHE;0;Educação Infantil;VILA JACUI;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
13315;EMEI;MARIA LUCIA PETIT DA SILVA, PROFA.;FREGUESIA/BRASILANDIA;CACHOEIRINHA;CRECHE;0;Educação Infantil;CACHOEIRINHA;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
13358;EMEI;JANIO QUADROS, PRES.;JACANA/TREMEMBE;TREMEMBE;CRECHE;0;Educação Infantil;TREMEMBE;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
13447;EMEI;HENRIQUE RICCHETTI, PROF.;SAO MATEUS;SAO MATEUS;CRECHE;0;Educação Infantil;SAO MATEUS;30;SAO MATEUS;Educação Infantil|SAO MATEUS
13471;EMEI;MARINA NOGUEIRA DE SOUZA MARTINS;JACANA/TREMEMBE;MANDAQUI;CRECHE;0;Educação Infantil;MANDAQUI;05;SANTANA-TUCURUVI;Educação Infantil|SANTANA-TUCURUVI
13498;EMEI;JOSE ROBERTO DE CASTRO RIBEIRO, PROF.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
13501;EMEI;DULCE SALLES FERRAZ, PROFA.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
13510;EMEF;OLINDA MENEZES SERRA VIDAL, PROFA.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
13528;EMEF;ANNA LAMBERGA ZEGLIO, VER.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
13692;EMEI;DORACIL DINA BENICIO, PROFA.;SAO MIGUEL;VILA CURUCA;CRECHE;0;Educação Infantil;VILA CURUCA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
13803;EMEF;JULIO DE GRAMMONT;SAO MATEUS;SAO RAFAEL;CRECHE;0;Educação Infantil;SAO RAFAEL;30;SAO MATEUS;Educação Infantil|SAO MATEUS
14117;EMEI;AYRTON SENNA DA SILVA;SANTO AMARO;CIDADE ADEMAR;CRECHE;0;Educação Infantil;CIDADE ADEMAR;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
14125;EMEI;VIRGILIO TAVORA;SANTO AMARO;PEDREIRA;CRECHE;0;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
14176;EMEI;SALOMAO JORGE, DEP.;CAMPO LIMPO;JARDIM SAO LUIS;CRECHE;0;Educação Infantil;JARDIM SAO LUIS;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
14249;EMEF;ERNESTO DE MORAES LEME, PROF.;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
14567;EMEI;TITO LIVIO FERREIRA, PROF.;FREGUESIA/BRASILANDIA;BRASILANDIA;CRECHE;0;Educação Infantil;BRASILANDIA;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
14575;EMEI;CIDADE DO SOL;IPIRANGA;SACOMA;CRECHE;0;Educação Infantil;SACOMA;13;IPIRANGA;Educação Infantil|IPIRANGA
14583;EMEF;FLAVIO AUGUSTO ROSA, PROF.;SAO MIGUEL;JARDIM HELENA;CRECHE;0;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
14591;EMEI;BENEDICTO CASTRUCCI, PROF.;BUTANTA;RAPOSO TAVARES;CRECHE;0;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
14672;EMEI;EDUARDO KNEESE DE MELLO, PROF.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
14681;EMEI;ELISIARIO RODRIGUES DE SOUSA, PROF.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
14699;EMEF;ANTONIO DAVILA, PROF.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
14893;EMEI;MARIA DAILCE MONTEIRO DA SILVA GOMES, PROFA.;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
15024;EMEF;CAIO SERGIO POMPEU DE TOLEDO, DEP.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
15121;EMEF;JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.;PENHA;ARTUR ALVIM;CRECHE;0;Educação Infantil;ARTUR ALVIM;21;PENHA;Educação Infantil|PENHA
15130;EMEF;JULIO CESAR DE MELO E SOUSA-MALBA TAHAN, PROF;ITAQUERA;ITAQUERA;CRECHE;0;Educação Infantil;ITAQUERA;27;ITAQUERA;Educação Infantil|ITAQUERA
15296;EMEF;JOAO FRANZOLIN NETO, PROF.;PENHA;ERMELINO MATARAZZO;CRECHE;0;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
15423;EMEF;PRESTES MAIA;SANTO AMARO;CIDADE ADEMAR;CRECHE;0;Educação Infantil;CIDADE ADEMAR;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
15431;EMEF;ERNANI SILVA BRUNO;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
15440;EMEF;EUZEBIO ROCHA FILHO;SAO MIGUEL;VILA CURUCA;CRECHE;0;Educação Infantil;VILA CURUCA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
16497;EMEF;FERNANDO GRACIOSO;PIRITUBA;PERUS;CRECHE;0;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
16501;EMEF;FLORESTAN FERNANDES, PROF.;CAPELA DO SOCORRO;CIDADE DUTRA;CRECHE;0;Educação Infantil;CIDADE DUTRA;19;CAPELA DO SOCORRO;Educação Infantil|CAPELA DO SOCORRO
16519;EMEFM;RUBENS PAIVA;SAO MATEUS;SAPOPEMBA;CRECHE;0;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
16527;EMEF;CLAUDIA BARTOLOMAZI, PROFA.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
16713;EMEF;ANNA SILVEIRA PEDREIRA;CAMPO LIMPO;JARDIM SAO LUIS;CRECHE;0;Educação Infantil;JARDIM SAO LUIS;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
16721;EMEI;CELSO DE SOUSA OLIVEIRA, PROF.;JACANA/TREMEMBE;JACANA;CRECHE;0;Educação Infantil;JACANA;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
16993;EMEF;VICENTE AMATO SOBRINHO, COM.;SAO MIGUEL;ITAIM PAULISTA;CRECHE;0;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
17272;EMEFM;GUIOMAR CABRAL;PIRITUBA;PIRITUBA;CRECHE;0;Educação Infantil;PIRITUBA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
17281;EMEI;CONJ. HABITACIONAL VALO VELHO;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
17329;EMEI;VICENTE MATHEUS;ITAQUERA;CIDADE LIDER;CRECHE;0;Educação Infantil;CIDADE LIDER;27;ITAQUERA;Educação Infantil|ITAQUERA
17442;EMEFM;ANTONIO SAMPAIO, VER.;JACANA/TREMEMBE;SANTANA;CRECHE;0;Educação Infantil;SANTANA;05;SANTANA-TUCURUVI;Educação Infantil|SANTANA-TUCURUVI
17451;EMEI;RUTH GONCALVES CHAVES DE SIQUEIRA, PROFA.;PENHA;ERMELINO MATARAZZO;CRECHE;0;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
17515;EMEI;MARIA LUIZA MORETTI GENTILE, PROFA.;IPIRANGA;VILA PRUDENTE;CRECHE;0;Educação Infantil;VILA PRUDENTE;29;VILA PRUDENTE;Educação Infantil|VILA PRUDENTE
17523;EMEF;CLOTILDE ROSA HENRIQUES ELIAS, PROFA.;ITAQUERA;JOSE BONIFACIO;CRECHE;0;Educação Infantil;JOSE BONIFACIO;27;ITAQUERA;Educação Infantil|ITAQUERA
17531;EMEI;VALENTINA ANTONINI DA SILVA, PROFA.;SAO MIGUEL;JARDIM HELENA;CRECHE;0;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
17655;EMEI;SEBASTIANA DE ARRUDA CRUZ OLIVEIRA, PROFA.;SAO MIGUEL;ITAIM PAULISTA;CRECHE;0;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
17710;EMEI;HELENA LOPES SANTANA DA SILVA, PROFA.;GUAIANASES;LAJEADO;CRECHE;0;Educação Infantil;LAJEADO;28;GUAIANASES;Educação Infantil|GUAIANASES
17728;EMEI;JOSE JOAQUIM DA SILVA;JACANA/TREMEMBE;VILA MARIA;CRECHE;0;Educação Infantil;VILA MARIA;07;VILA MARIA-VILA GUILHERME;Educação Infantil|VILA MARIA-VILA GUILHERME
17736;EMEI;ANTONIO FIGUEIREDO AMARAL;IPIRANGA;SANTA CECILIA;CRECHE;0;Educação Infantil;SANTA CECILIA;09;SE;Educação Infantil|SE
17973;EMEF;MAILSON DELANE, PROF.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
17981;EMEF;PERICLES EUGENIO DA SILVA RAMOS;IPIRANGA;IPIRANGA;CRECHE;0;Educação Infantil;IPIRANGA;13;IPIRANGA;Educação Infantil|IPIRANGA
18201;EMEI;LUCILIA DE ANDRADE FERREIRA, PROFA.;GUAIANASES;CIDADE TIRADENTES;CRECHE;0;Educação Infantil;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Educação Infantil|CIDADE TIRADENTES
18210;EMEFM;DARCY RIBEIRO;SAO MIGUEL;SAO MIGUEL;CRECHE;0;Educação Infantil;SAO MIGUEL;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
18228;EMEI;MARIA DE LOURDES COUTINHO TORRES, DA.;SAO MATEUS;SAO RAFAEL;CRECHE;0;Educação Infantil;SAO RAFAEL;30;SAO MATEUS;Educação Infantil|SAO MATEUS
18236;EMEI;MARIA APARECIDA VITA PIANTE, PROFA.;BUTANTA;RIO PEQUENO;CRECHE;0;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
18244;EMEI;CAMILLO ASHCAR, PROF.;BUTANTA;RAPOSO TAVARES;CRECHE;0;Educação Infantil;RAPOSO TAVARES;10;BUTANTA;Educação Infantil|BUTANTA
18261;EMEI;ALICE FEITOSA, DA.;PIRITUBA;PERUS;CRECHE;0;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
18279;EMEI;CEZAR ROGERIO OLIVEIRA PERAMEZZA, PROF.;PENHA;ARTUR ALVIM;CRECHE;0;Educação Infantil;ARTUR ALVIM;21;PENHA;Educação Infantil|PENHA
18287;EMEI;ANTONIO MUNHOZ BONILHA;PIRITUBA;PIRITUBA;CRECHE;0;Educação Infantil;PIRITUBA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
