CODEOL;TIPO;UNIDADE;DIRETORIA;DISTRITO;NIVEL;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
308130;CR.P.CONV;ANALIA FRANCO;PIRITUBA;PERUS;CRECHE;58;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308131;CR.P.CONV;MARGARIDA BARROS HORTA;PIRITUBA;SAO DOMINGOS;CRECHE;97;Educação Infantil;SAO DOMINGOS;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308132;CR.P.CONV;UNIVERSO CRIANCA;CAMPO LIMPO;JARDIM SAO LUIS;CRECHE;31;Educação Infantil;JARDIM SAO LUIS;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
308133;CR.P.CONV;REVOLUCAO;SAO MIGUEL;ITAIM PAULISTA;CRECHE;29;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308135;CR.P.CONV;SAMARITANINHOS V;SAO MIGUEL;ITAIM PAULISTA;CRECHE;51;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308136;CR.P.CONV;ESTRELA CADENTE;SAO MIGUEL;ITAIM PAULISTA;CRECHE;59;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308137;CR.P.CONV;RECANTO DOS PEQUENINOS;PENHA;ERMELINO MATARAZZO;CRECHE;58;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
308138;CR.P.CONV;MONTE CARMELO III;ITAQUERA;CIDADE LIDER;CRECHE;40;Educação Infantil;CIDADE LIDER;27;ITAQUERA;Educação Infantil|ITAQUERA
308140;CR.P.CONV;MARAJOARA;PIRITUBA;JAGUARE;CRECHE;46;Educação Infantil;JAGUARE;08;LAPA;Educação Infantil|LAPA
308141;CR.P.CONV;PINGOS DO AMANHA;SAO MIGUEL;ITAIM PAULISTA;CRECHE;36;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308144;CR.P.CONV;VIVER E CONVIVER;BUTANTA;VILA SONIA;CRECHE;50;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
308145;CR.P.CONV;KALIXTO MENDES II;ITAQUERA;CIDADE LIDER;CRECHE;38;Educação Infantil;CIDADE LIDER;27;ITAQUERA;Educação Infantil|ITAQUERA
308146;CR.P.CONV;AGOSTINA, IRMA;SANTO AMARO;PEDREIRA;CRECHE;42;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
308147;CR.P.CONV;MONTE MORIAH;PENHA;PENHA;CRECHE;12;Educação Infantil;PENHA;21;PENHA;Educação Infantil|PENHA
308148;CR.P.CONV;SEMEAR PARA O FUTURO;FREGUESIA/BRASILANDIA;BRASILANDIA;CRECHE;68;Educação Infantil;BRASILANDIA;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
308151;CR.P.CONV;EXPEDITO,SANTO;PIRITUBA;PIRITUBA;CRECHE;68;Educação Infantil;PIRITUBA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
